iter	Passed	Remaining
0	0	92
1	1	80
2	2	76
3	2	71
4	3	69
5	4	68
6	5	66
7	5	65
8	6	64
9	7	63
10	7	62
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	58
17	13	59
18	13	59
19	14	58
20	15	57
21	16	57
22	16	55
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	45
37	27	44
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	61	10
86	64	9
87	64	8
88	65	8
89	66	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	73	0
